信義房屋天母七段店, 02-28733322,台北市士林區中山北路七段132號
信義房屋中山經貿店, 07-3367666,高雄市前鎮區中山二路7號
信義房屋光華一心店, 07-2620111,高雄市前鎮區光華三路231號
信義房屋總圖捷運店, 07-3358133,高雄市前鎮區新光路15號
信義房屋成功漢神店, 07-2715566,高雄市苓雅區成功一路285號
信義房屋文化店, 07-2252299,高雄市苓雅區廣州一街153－5號
信義房屋七賢店, 07-2387000,高雄市新興區七賢一路247號
信義房屋新堀江店, 07-2018088,高雄市新興區中山一路6之16號
信義房屋捷運中正店, 07-2351000,高雄市新興區中正三路166號
信義房屋農十六店, 07-5868000,高雄市鼓山區明誠三路704號
信義房屋美術東二店, 07-5866111,高雄市鼓山區美術東二路440號
信義房屋高美館店, 07-5552000,高雄市鼓山區美術館路81號
信義房屋瑞豐華榮店, 07-5528000,高雄市鼓山區華榮路203號
信義房屋鳳山文山店, 07-7676600,高雄市鳳山區文濱路192號1樓
信義房屋鳳山建國店, 07-7781666,高雄市鳳山區建國路三段300號
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
暫無分店, , 
 , , 
 , , 
 , , 
 , , 
